track	full_name	url	language	updated	description
Unknown	07Prxshant/RazorPay-AI-Buildathon-26	https://github.com/07Prxshant/RazorPay-AI-Buildathon-26	JavaScript	2026-08-26T12:10:45Z	
Unknown	172-21019/razorpay-buildathon	https://github.com/172-21019/razorpay-buildathon	JavaScript	2026-08-26T19:28:55Z	
Track 2 / Risk	23f2000528/fraud_spike_detector	https://github.com/23f2000528/fraud_spike_detector	Python	2026-08-27T15:26:45Z	Razorpay AI Buildathon 2026- Track 02: AI Risk Manager I have made the project named:Fraud-Spike Detector: Automated Card-Testing Sentinel
Track 1 / Growth-Commerce	9AVTAR/GROWTH-PILOT	https://github.com/9AVTAR/GROWTH-PILOT	Python	2026-08-23T20:03:28Z	🚀 AI agent that grows merchant revenue via win-back/upsell/cross-sell on Razorpay test-mode APIs — every money action is explainable, bounded, gated & audited. Built for Razorpay Buildathon (Track 01: Agentic Commerce).
Unknown	a09070025-beep/agentic-storefront	https://github.com/a09070025-beep/agentic-storefront	Python	2026-08-23T09:53:45Z	Agentic Storefront for Razorpay Buildathon - AI-powered negotiation & sales agent
Unknown	aadhi590/razorpay	https://github.com/aadhi590/razorpay		2026-08-26T07:43:21Z	Razorpay hackathon project
Track 2 / Risk	Aahan0605/Razorpay_ps	https://github.com/Aahan0605/Razorpay_ps	Python	2026-08-24T18:38:53Z	ML fraud detector + LLM verifier for Razorpay transactions. XGBoost classifier flags suspicious payments using velocity, geo & behavioral features, scored on precision/recall against a held-out test set. An LLM agent then explains each flag and recommends bounded actions (block/hold/clear). Built for Razorpay's AI Risk Manager buildathon track.
Track 4 / Finance Controller	aaradhya1205/recon-copilot	https://github.com/aaradhya1205/recon-copilot	HTML	2026-08-22T13:22:38Z	AI-assisted multi-source settlement reconciliation for Razorpay merchants — Razorpay AI Builder Internship 2026, Track 4
Track 3 / Revenue Recovery	aaravwalia/backstop	https://github.com/aaravwalia/backstop	Python	2026-08-22T19:16:11Z	Bounded recovery for failed payments - Razorpay AI Buildathon, Track 03
Track 2 / Risk	Aariguru/-Razorpay-AI-Risk-Manager	https://github.com/Aariguru/-Razorpay-AI-Risk-Manager	Python	2026-08-23T12:00:04Z	AI-powered Risk Management platform for payment transactions, featuring real-time risk scoring, fraud detection, analyst review workflows, investigation agents, and an interactive RiskOps dashboard. Built with FastAPI, React, TypeScript, Python, and SQLite/PostgreSQL.
Track 4 / Finance Controller	Aarti-panchal01/reconiq	https://github.com/Aarti-panchal01/reconiq	TypeScript	2026-08-23T14:05:21Z	Multi-rail Indian payment settlement reconciliation engine — Razorpay AI Buildathon, Track 04: AI Finance Controller
Track 4 / Finance Controller	aashborn11/razorpay-buildathon	https://github.com/aashborn11/razorpay-buildathon	Python	2026-08-27T17:52:17Z	"""AI agent that parses a bank statement to detect forgotten zombie subscriptions and unclaimed RBI TAT compensation, quantifying total annual money leakage. Built for the Razorpay AI Buildathon (Open Track)."
Track 3 / Revenue Recovery	Aashwalayan/revenue-recovery-agent	https://github.com/Aashwalayan/revenue-recovery-agent	JavaScript	2026-08-27T18:23:24Z	razorpay buildathon
Unknown	AasishDairelSahayaGrinspan/Razorpay_buildathon_2026	https://github.com/AasishDairelSahayaGrinspan/Razorpay_buildathon_2026	HTML	2026-08-27T20:40:18Z	
Track 3 / Revenue Recovery	aathiamirtha16062006-del/poise	https://github.com/aathiamirtha16062006-del/poise	Python	2026-08-25T03:40:03Z	"""A relationship-aware AI revenue recovery agent that knows when to stop. Razorpay AI Buildathon 2026."""
Track 3 / Revenue Recovery	abhaywill/razorpay-ai-recovery-agent	https://github.com/abhaywill/razorpay-ai-recovery-agent	Python	2026-08-23T10:01:07Z	An autonomous, policy-constrained AI agent for intelligent payment recovery. Built for Razorpay AI Buildathon Track 03.
Track 3 / Revenue Recovery	Abhi120320/vault-guard	https://github.com/Abhi120320/vault-guard	JavaScript	2026-08-26T20:18:47Z	AI agent that detects payment failures, diagnoses root cause via LLM, and executes bounded, auditable recovery actions, built for the Razorpay AI Buildathon 2026 (Track 3: AI Revenue Recovery).
Track 3 / Revenue Recovery	AbhijitDoesCoding/Reclaim-AI	https://github.com/AbhijitDoesCoding/Reclaim-AI	TypeScript	2026-08-22T17:42:16Z	An autonomous B2B revenue recovery agent that negotiates bounded installment plans and executes payments via Razorpay. Built for the Razorpay AI Builder Internship.
Track 3 / Revenue Recovery	abhinav-phi/reflex	https://github.com/abhinav-phi/reflex	Python	2026-08-28T06:20:25Z	AI agent that recovers failed payments: root-cause diagnosis (rules-first + LLM tail), EV-ranked interventions, deterministic guardrails, payment-link execution — every action on a hash-chained ledger. Pre-registered eval: +10.24pp recovery vs tuned-naive baseline.
Track 3 / Revenue Recovery	Abhishek0905Sharma/ai-revenue-recovery-agent	https://github.com/Abhishek0905Sharma/ai-revenue-recovery-agent	Python	2026-08-27T19:31:23Z	AI-powered Revenue Recovery Agent built for Razorpay AI Buildathon 2026.
Track 3 / Revenue Recovery	abhishekck31/RevenueRadar	https://github.com/abhishekck31/RevenueRadar	TypeScript	2026-08-27T05:48:19Z	Multi-agent system that detects payment failures, abandoned checkouts & overdue invoices — triages by rupee impact & dispatches specialized recovery agents with audit trail. Built for Razorpay AI Buildathon.
